epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,65.6165,0.1858,0.98625,1,0.04534,0.00055011,0.00055011,0.00055011
2,134.353,0.08473,0.98375,1,0.04439,0.000996305,0.000996305,0.000996305
3,200.223,0.11352,0.955,1,0.12114,0.00133248,0.00133248,0.00133248
4,270.249,0.12024,0.9775,1,0.04727,0.0011719,0.0011719,0.0011719
5,339.806,0.09027,0.98375,1,0.04503,0.00100687,0.00100687,0.00100687
6,410.986,0.05577,0.98625,1,0.03844,0.000841835,0.000841835,0.000841835
7,482.021,0.04949,0.99,1,0.02608,0.000676802,0.000676802,0.000676802
8,579.845,0.03254,0.98875,1,0.02522,0.000511769,0.000511769,0.000511769
9,664.182,0.02901,0.99125,1,0.02346,0.000346736,0.000346736,0.000346736
10,734.819,0.02946,0.99125,1,0.02516,0.000181703,0.000181703,0.000181703
